"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,448810,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,14557,"False positive"
"regular","1e-06","mst","roadDisturbance",100,5667,"False negative"
"regular","1e-06","mst","roadDisturbance",101,33228,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,704642,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,5978,"False positive"
"regular","1e-06","mst","roadPresence",10,2394,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",11,40,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",100,12439,"False negative"
"regular","1e-06","mst","roadPresence",101,2292,"Agree roaded"
"regular","1e-06","mst","roadPresence",110,49,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",111,34687,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,505271,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,4451,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,6436,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,213,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2186,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,41046,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1110,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,185570,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,446804,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,16563,"False positive"
"regular","1e-05","mst","roadDisturbance",100,4178,"False negative"
"regular","1e-05","mst","roadDisturbance",101,34717,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,703229,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,7391,"False positive"
"regular","1e-05","mst","roadPresence",10,2385,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",11,49,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",100,11881,"False negative"
"regular","1e-05","mst","roadPresence",101,2850,"Agree roaded"
"regular","1e-05","mst","roadPresence",110,47,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",111,34689,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,505500,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,4222,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,6382,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,267,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",100,2205,"False negative"
"regular","1e-05","mst","forestryDisturbance",101,41027,"Agree roaded"
"regular","1e-05","mst","forestryDisturbance",110,1105,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",111,185575,"Pre-existing roads"
"random","1e-06","mst","roadDisturbance",0,449449,"Agree roadless"
"random","1e-06","mst","roadDisturbance",1,13918,"False positive"
"random","1e-06","mst","roadDisturbance",100,5779,"False negative"
