"sampleType","sampleDens","runTime","method","areaMean","order","roadDisturbanceMean","roadDensityMean","roadPresenceMean","distanceToRoadMean","forestryDisturbanceMean"
"regular","low sample density",NA,"mst","overall","1",0.405010484957136,2.80463703336702,0.0267857142857143,12173.3863304414,0.310683748658351
"regular","high sample density",NA,"mst","overall","2",0.409683143152779,2.95934334100414,0.0278176735853719,12157.092742219,0.310453273088091
"random","low sample density",NA,"mst","overall","3",0.404668199302052,2.79399599411661,0.0267101512584278,12178.9351692126,0.31106698129262
"random","high sample density",NA,"mst","overall","4",0.408594648540827,2.92205326294011,0.027586020509019,12167.0792220586,0.310568510873221
"centroid","centroid",NA,"mst","overall","5",0.40477967164183,2.79347852528188,0.0267051872639345,12178.5321071472,0.311176859180767
"regular","high sample density",NA,"ilcp","overall","6",0.408800544509594,2.78301690612424,0.0268816848459176,12159.4509353423,0.308578649118364
"observed","observed",NA,NA,"overall","7",0.392322309811795,2.89534349728515,0.0301595758763105,11776.0244975693,0.308076158776228
"cutOnly",NA,NA,NA,"overall","8",0.34131387856859,2.03557727908293,0.0216352942214692,12479.3377682244,0.302416107562413
"regular","low sample density",NA,"mst","cutover","1",0.997566861845229,35.0422654078809,0.302896027852508,118.490502603938,1
"regular","high sample density",NA,"mst","cutover","2",1,40.6294884505894,0.339590916284222,93.3805486564679,1
"random","low sample density",NA,"mst","cutover","3",0.999386770058554,34.9099422546642,0.301827820857731,115.909149418943,1
"random","high sample density",NA,"mst","cutover","4",1,39.2218784726234,0.330629846494699,98.029105879344,1
"centroid","centroid",NA,"mst","cutover","5",0.998733976895078,34.8784182800492,0.301709131191644,117.163181349001,1
"regular","high sample density",NA,"ilcp","cutover","6",1,36.734586170598,0.322697420477924,97.8489125516336,1
"observed","observed",NA,NA,"cutover","7",0.984036239911378,34.5194552317778,0.359214274410508,158.558096532977,1
"cutOnly",NA,NA,NA,"cutover","8",0.856029435037189,15.7869599669123,0.172851717043836,512.308289707339,1
"regular","low sample density",NA,"mst","notCutover","1",0.362937150353456,1.87999993206772,0.0188663401614975,12519.143896886,0.260613787215449
"regular","high sample density",NA,"mst","notCutover","2",0.367768821395314,1.87889122538922,0.0188754181550794,12503.1031789663,0.260366570558796
"random","low sample density",NA,"mst","notCutover","3",0.362441342249452,1.87284896956336,0.0188192480697916,12524.9259251784,0.261024856772443
"random","high sample density",NA,"mst","notCutover","4",0.366603040300912,1.8809045540578,0.0188941415168419,12513.2427606793,0.260490178887123
"centroid","centroid",NA,"mst","notCutover","5",0.362607079802632,1.87322082686929,0.018817545945995,12524.4753344743,0.261142715876196
"regular","high sample density",NA,"ilcp","notCutover","6",0.366823555519973,1.80922068809711,0.0183971213682352,12505.4008483388,0.258355779264272
"observed","observed",NA,NA,"notCutover","7",0.350308791534463,1.98830323161649,0.0207216550997898,12109.2357478729,0.257816789460522
"cutOnly",NA,NA,NA,"notCutover","8",0.304767482853888,1.64116121101435,0.0172981167702314,12822.5751590037,0.251745608311079
