"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,4782,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,108,"False positive"
"regular","1e-06","mst","roadDisturbance",100,134,"False negative"
"regular","1e-06","mst","roadDisturbance",101,262,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,2663,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,5540,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,40,"False positive"
"regular","1e-06","mst","roadPresence",100,207,"False negative"
"regular","1e-06","mst","roadPresence",101,170,"Agree roaded"
"regular","1e-06","mst","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,506119,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,4000,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,6496,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,165,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2213,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,41091,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1244,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,184955,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,4761,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,129,"False positive"
"regular","1e-05","mst","roadDisturbance",100,119,"False negative"
"regular","1e-05","mst","roadDisturbance",101,277,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,2663,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,5525,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,55,"False positive"
"regular","1e-05","mst","roadPresence",100,179,"False negative"
"regular","1e-05","mst","roadPresence",101,198,"Agree roaded"
"regular","1e-05","mst","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,505401,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,4718,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,6479,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,182,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",100,2136,"False negative"
