"sampleType","sampleDens","runTime","method","areaMean","order","roadDisturbanceMean","roadDensityMean","roadPresenceMean","distanceToRoadMean","forestryDisturbanceMean"
"regular","low sample density",NA,"mst","overall","1",0.381557428607372,2.16590697928622,0.135104115428759,4509.05749540562,0.308476811075691
"regular","high sample density",NA,"mst","overall","2",0.386086300163543,2.19178553861288,0.137454227468984,4483.07234712624,0.309690827742291
"random","low sample density",NA,"mst","overall","3",0.380425210718329,2.16318522162103,0.134830846586872,4511.54855643045,0.308412492311898
"random","high sample density",NA,"mst","overall","4",0.385079884262171,2.18714543367765,0.13712630485872,4484.91209656258,0.309605069390566
"centroid","centroid",NA,"mst","overall","5",0.380299408730658,2.16262775318358,0.134776192818495,4513.1279537896,0.308425892054355
"regular","high sample density",NA,"dlcp","overall","6",0.386337904138885,2.19120074329125,0.137836803847625,4481.49768174263,0.309934703055007
"observed","observed",NA,NA,"overall","7",0.384828280286829,2.89478056511996,0.146253484177734,4484.93506493507,0.307528109309739
"cutOnly",NA,NA,NA,"overall","8",0.335010693168952,2.04277750450893,0.12362682406952,4735.48672566372,0.301860018250449
"regular","low sample density",NA,"mst","cutover","1",0.958309537407196,12.0937178754997,0.782981153626499,651.056539120503,1
"regular","high sample density",NA,"mst","cutover","2",0.96516276413478,12.346944603084,0.806967447173044,579.097658480868,1
"random","low sample density",NA,"mst","cutover","3",0.953740719588806,12.0607652769846,0.779554540262707,661.336379211879,1
"random","high sample density",NA,"mst","cutover","4",0.963449457452884,12.3065676756139,0.802969731581953,591.09080525414,1
"centroid","centroid",NA,"mst","cutover","5",0.953740719588806,12.0549971444889,0.778983438035408,663.049685893775,1
"regular","high sample density",NA,"dlcp","cutover","6",0.964020559680183,12.3366076527698,0.809822958309537,570.531125071388,1
"observed","observed",NA,NA,"cutover","7",0.975442604226156,18.6045117075957,0.867504283266705,428.326670474015,1
"cutOnly",NA,NA,NA,"cutover","8",0.822958309537407,10.7110793832096,0.671045117075957,1087.949743004,1
"regular","low sample density",NA,"mst","notCutover","1",0.218618909325589,1.11528466094525,0.0665417623594827,5207.21372467962,0.258246543997378
"regular","high sample density",NA,"mst","notCutover","2",0.222491126169732,1.11710383174181,0.0666021999274749,5189.25619834711,0.259548743363239
"random","low sample density",NA,"mst","notCutover","3",0.218457566957083,1.11576211773238,0.0666021999274749,5208.07934703998,0.258177553302498
"random","high sample density",NA,"mst","notCutover","4",0.221684414327202,1.11624561827632,0.0666626374954672,5189.11381945879,0.259456755770065
"centroid","centroid",NA,"mst","notCutover","5",0.218296224588577,1.11575607397559,0.0666021999274749,5209.92248062015,0.258191926363932
"regular","high sample density",NA,"dlcp","notCutover","6",0.223136495643756,1.11755106974496,0.0667230750634595,5188.94628099174,0.259810333081326
"observed","observed",NA,NA,"notCutover","7",0.217973539851565,1.23227970506467,0.0699262661670494,5209.81732829881,0.257228931247898
"cutOnly",NA,NA,NA,"notCutover","8",0.197160374314295,1.12544421612475,0.065695636407591,5404.33553251649,0.251149126261595
