"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,461856,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,1511,"False positive"
"regular","1e-06","mst","roadDisturbance",100,7058,"False negative"
"regular","1e-06","mst","roadDisturbance",101,31837,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,710297,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,2757,"False positive"
"regular","1e-06","mst","roadPresence",100,12938,"False negative"
"regular","1e-06","mst","roadPresence",101,1796,"Agree roaded"
"regular","1e-06","mst","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,518149,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,337,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,5250,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,13,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2732,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,34731,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1457,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,183614,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,459822,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,3545,"False positive"
"regular","1e-05","mst","roadDisturbance",100,5299,"False negative"
"regular","1e-05","mst","roadDisturbance",101,33596,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,709132,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,3922,"False positive"
"regular","1e-05","mst","roadPresence",100,12452,"False negative"
"regular","1e-05","mst","roadPresence",101,2282,"Agree roaded"
"regular","1e-05","mst","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,518034,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,452,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,5256,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,7,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",100,2713,"False negative"
"regular","1e-05","mst","forestryDisturbance",101,34750,"Agree roaded"
