"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,458848,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,4519,"False positive"
"regular","1e-06","mst","roadDisturbance",100,6046,"False negative"
"regular","1e-06","mst","roadDisturbance",101,32849,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,705793,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,4827,"False positive"
"regular","1e-06","mst","roadPresence",10,2397,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",11,37,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",100,12146,"False negative"
"regular","1e-06","mst","roadPresence",101,2585,"Agree roaded"
"regular","1e-06","mst","roadPresence",110,50,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",111,34686,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,515247,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,2827,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,5008,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,249,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2435,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,34965,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1237,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,184315,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,457595,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,5772,"False positive"
"regular","1e-05","mst","roadDisturbance",100,4591,"False negative"
"regular","1e-05","mst","roadDisturbance",101,34304,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,704568,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,6052,"False positive"
"regular","1e-05","mst","roadPresence",10,2375,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",11,59,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",100,11673,"False negative"
"regular","1e-05","mst","roadPresence",101,3058,"Agree roaded"
"regular","1e-05","mst","roadPresence",110,48,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",111,34688,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,515833,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,2241,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,5043,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,214,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",100,2414,"False negative"
"regular","1e-05","mst","forestryDisturbance",101,34986,"Agree roaded"
"regular","1e-05","mst","forestryDisturbance",110,1267,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",111,184285,"Pre-existing roads"
"random","1e-06","mst","roadDisturbance",0,458844,"Agree roadless"
"random","1e-06","mst","roadDisturbance",1,4523,"False positive"
"random","1e-06","mst","roadDisturbance",100,6237,"False negative"
"random","1e-06","mst","roadDisturbance",101,32658,"Agree roaded"
"random","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"random","1e-06","mst","roadPresence",0,705920,"Agree roadless"
"random","1e-06","mst","roadPresence",1,4700,"False positive"
"random","1e-06","mst","roadPresence",10,2395,"Pre-existing roads"
"random","1e-06","mst","roadPresence",11,39,"Pre-existing roads"
"random","1e-06","mst","roadPresence",100,12169,"False negative"
"random","1e-06","mst","roadPresence",101,2562,"Agree roaded"
"random","1e-06","mst","roadPresence",110,50,"Pre-existing roads"
"random","1e-06","mst","roadPresence",111,34686,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",0,515022,"Agree roadless"
"random","1e-06","mst","forestryDisturbance",1,3052,"False positive"
"random","1e-06","mst","forestryDisturbance",10,4977,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",11,280,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",100,2482,"False negative"
"random","1e-06","mst","forestryDisturbance",101,34918,"Agree roaded"
"random","1e-06","mst","forestryDisturbance",110,1265,"Pre-existing roads"
"random","1e-06","mst","forestryDisturbance",111,184287,"Pre-existing roads"
"random","1e-05","mst","roadDisturbance",0,458518,"Agree roadless"
"random","1e-05","mst","roadDisturbance",1,4849,"False positive"
"random","1e-05","mst","roadDisturbance",100,5099,"False negative"
"random","1e-05","mst","roadDisturbance",101,33796,"Agree roaded"
"random","1e-05","mst","roadDisturbance",111,260259,"Pre-existing roads"
"random","1e-05","mst","roadPresence",0,704811,"Agree roadless"
"random","1e-05","mst","roadPresence",1,5809,"False positive"
"random","1e-05","mst","roadPresence",10,2388,"Pre-existing roads"
"random","1e-05","mst","roadPresence",11,46,"Pre-existing roads"
"random","1e-05","mst","roadPresence",100,11846,"False negative"
"random","1e-05","mst","roadPresence",101,2885,"Agree roaded"
"random","1e-05","mst","roadPresence",110,49,"Pre-existing roads"
"random","1e-05","mst","roadPresence",111,34687,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",0,516215,"Agree roadless"
"random","1e-05","mst","forestryDisturbance",1,1859,"False positive"
"random","1e-05","mst","forestryDisturbance",10,5048,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",11,209,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",100,2451,"False negative"
"random","1e-05","mst","forestryDisturbance",101,34949,"Agree roaded"
"random","1e-05","mst","forestryDisturbance",110,1254,"Pre-existing roads"
"random","1e-05","mst","forestryDisturbance",111,184298,"Pre-existing roads"
"centroid","1e-06","mst","roadDisturbance",0,458844,"Agree roadless"
"centroid","1e-06","mst","roadDisturbance",1,4523,"False positive"
"centroid","1e-06","mst","roadDisturbance",100,6237,"False negative"
"centroid","1e-06","mst","roadDisturbance",101,32658,"Agree roaded"
"centroid","1e-06","mst","roadDisturbance",111,260259,"Pre-existing roads"
"centroid","1e-06","mst","roadPresence",0,705920,"Agree roadless"
"centroid","1e-06","mst","roadPresence",1,4700,"False positive"
"centroid","1e-06","mst","roadPresence",10,2395,"Pre-existing roads"
"centroid","1e-06","mst","roadPresence",11,39,"Pre-existing roads"
"centroid","1e-06","mst","roadPresence",100,12169,"False negative"
"centroid","1e-06","mst","roadPresence",101,2562,"Agree roaded"
"centroid","1e-06","mst","roadPresence",110,50,"Pre-existing roads"
"centroid","1e-06","mst","roadPresence",111,34686,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",0,515022,"Agree roadless"
"centroid","1e-06","mst","forestryDisturbance",1,3052,"False positive"
"centroid","1e-06","mst","forestryDisturbance",10,4977,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",11,280,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",100,2482,"False negative"
"centroid","1e-06","mst","forestryDisturbance",101,34918,"Agree roaded"
"centroid","1e-06","mst","forestryDisturbance",110,1265,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",111,184287,"Pre-existing roads"
"regular","1e-05","ilcp","roadDisturbance",0,459009,"Agree roadless"
"regular","1e-05","ilcp","roadDisturbance",1,4358,"False positive"
"regular","1e-05","ilcp","roadDisturbance",100,4717,"False negative"
"regular","1e-05","ilcp","roadDisturbance",101,34178,"Agree roaded"
"regular","1e-05","ilcp","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",0,705887,"Agree roadless"
"regular","1e-05","ilcp","roadPresence",1,4733,"False positive"
"regular","1e-05","ilcp","roadPresence",10,2384,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",11,50,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",100,12103,"False negative"
"regular","1e-05","ilcp","roadPresence",101,2628,"Agree roaded"
"regular","1e-05","ilcp","roadPresence",110,47,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",111,34689,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",0,517134,"Agree roadless"
"regular","1e-05","ilcp","forestryDisturbance",1,940,"False positive"
"regular","1e-05","ilcp","forestryDisturbance",10,5207,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",11,50,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",100,2628,"False negative"
"regular","1e-05","ilcp","forestryDisturbance",101,34772,"Agree roaded"
"regular","1e-05","ilcp","forestryDisturbance",110,1405,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",111,184147,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,463367,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,38895,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,710620,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",10,2434,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",100,14681,"False negative"
"cutOnly",NA,NA,"roadPresence",101,50,"Agree roaded"
"cutOnly",NA,NA,"roadPresence",110,53,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",111,34683,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,518074,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,5257,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,3200,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,34200,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1520,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,184032,"Pre-existing roads"
"klementQGIS",NA,NA,"roadDisturbance",0,458041,"Agree roadless"
"klementQGIS",NA,NA,"roadDisturbance",1,5326,"False positive"
"klementQGIS",NA,NA,"roadDisturbance",100,4214,"False negative"
"klementQGIS",NA,NA,"roadDisturbance",101,34681,"Agree roaded"
"klementQGIS",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",0,705735,"Agree roadless"
"klementQGIS",NA,NA,"roadPresence",1,4885,"False positive"
"klementQGIS",NA,NA,"roadPresence",10,2430,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",11,4,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",100,12027,"False negative"
"klementQGIS",NA,NA,"roadPresence",101,2704,"Agree roaded"
"klementQGIS",NA,NA,"roadPresence",110,52,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",111,34684,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",0,517690,"Agree roadless"
"klementQGIS",NA,NA,"forestryDisturbance",1,384,"False positive"
"klementQGIS",NA,NA,"forestryDisturbance",10,5246,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",11,11,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",100,2834,"False negative"
"klementQGIS",NA,NA,"forestryDisturbance",101,34566,"Agree roaded"
"klementQGIS",NA,NA,"forestryDisturbance",110,1466,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",111,184086,"Pre-existing roads"
