"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-06","mst","roadDisturbance",0,4746,"Agree roadless"
"regular","1e-06","mst","roadDisturbance",1,144,"False positive"
"regular","1e-06","mst","roadDisturbance",100,133,"False negative"
"regular","1e-06","mst","roadDisturbance",101,263,"Agree roaded"
"regular","1e-06","mst","roadDisturbance",111,2663,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",0,5512,"Agree roadless"
"regular","1e-06","mst","roadPresence",1,58,"False positive"
"regular","1e-06","mst","roadPresence",10,10,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",100,195,"False negative"
"regular","1e-06","mst","roadPresence",101,180,"Agree roaded"
"regular","1e-06","mst","roadPresence",110,2,"Pre-existing roads"
"regular","1e-06","mst","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",0,509399,"Agree roadless"
"regular","1e-06","mst","forestryDisturbance",1,8675,"False positive"
"regular","1e-06","mst","forestryDisturbance",10,5144,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",11,113,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",100,2317,"False negative"
"regular","1e-06","mst","forestryDisturbance",101,35083,"Agree roaded"
"regular","1e-06","mst","forestryDisturbance",110,1409,"Pre-existing roads"
"regular","1e-06","mst","forestryDisturbance",111,184143,"Pre-existing roads"
"regular","1e-05","mst","roadDisturbance",0,4738,"Agree roadless"
"regular","1e-05","mst","roadDisturbance",1,152,"False positive"
"regular","1e-05","mst","roadDisturbance",100,119,"False negative"
"regular","1e-05","mst","roadDisturbance",101,277,"Agree roaded"
"regular","1e-05","mst","roadDisturbance",111,2663,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",0,5509,"Agree roadless"
"regular","1e-05","mst","roadPresence",1,61,"False positive"
"regular","1e-05","mst","roadPresence",10,10,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",100,173,"False negative"
"regular","1e-05","mst","roadPresence",101,202,"Agree roaded"
"regular","1e-05","mst","roadPresence",110,2,"Pre-existing roads"
"regular","1e-05","mst","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",0,508969,"Agree roadless"
"regular","1e-05","mst","forestryDisturbance",1,9105,"False positive"
"regular","1e-05","mst","forestryDisturbance",10,5162,"Pre-existing roads"
"regular","1e-05","mst","forestryDisturbance",11,95,"Pre-existing roads"
