"sampleType","sampleDens","runTime","method","areaMean","order","roadDisturbanceMean","roadDensityMean","roadPresenceMean","distanceToRoadMean","forestryDisturbanceMean"
"regular","low sample density",NA,"mst","overall","1",0.386212102151214,2.17123025678631,0.136634420943324,12291.9033047477,0.305532887657899
"regular","high sample density",NA,"mst","overall","2",0.388979745879985,2.18783953658361,0.138000765152757,12286.3422108946,0.306031358077298
"random","low sample density",NA,"mst","overall","3",0.384576676311486,2.16675411319172,0.136142537027928,12293.8888502403,0.305169754637316
"random","high sample density",NA,"mst","overall","4",0.39124418165807,2.19371481726321,0.138492649068153,12281.4426356262,0.307948861222887
"centroid","centroid",NA,"mst","overall","5",0.384576676311486,2.16675411319172,0.136142537027928,12293.8888502403,0.305169754637316
"regular","high sample density",NA,"ilcp","overall","6",0.376147943137502,2.15058752859382,0.135432038039023,12311.9873699158,0.297545301179311
"observed","observed",NA,NA,"overall","7",0.384828280286829,2.87020823097251,0.146253484177734,11802.9978647002,0.298749938026191
"cutOnly",NA,NA,NA,"overall","8",0.335010693168952,2.01821063626117,0.12362682406952,12537.6592121115,0.292425259586511
"regular","low sample density",NA,"mst","cutover","1",0.966501240694789,12.4728908238761,0.814516129032258,187.282564830543,1
"regular","high sample density",NA,"mst","cutover","2",0.975806451612903,12.6990694785514,0.831885856079404,169.50536011348,1
"random","low sample density",NA,"mst","cutover","3",0.962779156327543,12.4373449179952,0.810173697270472,193.89351644587,1
"random","high sample density",NA,"mst","cutover","4",0.972084367245658,12.6671215942864,0.830024813895782,171.623358563217,1
"centroid","centroid",NA,"mst","cutover","5",0.962779156327543,12.4373449179952,0.810173697270472,193.89351644587,1
"regular","high sample density",NA,"ilcp","cutover","6",0.97394540942928,12.6069478950655,0.8287841191067,172.864053352299,1
"observed","observed",NA,NA,"cutover","7",0.997518610421836,19.6883374777421,0.910049627791563,90.4642847406657,1
"cutOnly",NA,NA,NA,"cutover","8",0.841191066997519,11.1722704758105,0.699131513647643,446.292345297839,1
"regular","low sample density",NA,"mst","notCutover","1",0.238598706012309,1.17594845671746,0.0711417440815103,13461.3758029644,0.260651857896291
"regular","high sample density",NA,"mst","notCutover","2",0.239703329651255,1.17231045858228,0.0709619418639496,13456.9949530858,0.261182542750802
"random","low sample density",NA,"mst","notCutover","3",0.237494082373363,1.17447407858919,0.0710218759364699,13462.9144707423,0.260265256832924
"random","high sample density",NA,"mst","notCutover","4",0.243490610699069,1.18183997611479,0.0716811507341924,13451.4173838807,0.263223967554042
"centroid","centroid",NA,"mst","notCutover","5",0.237494082373363,1.17447407858919,0.0710218759364699,13462.9144707423,0.260265256832924
"regular","high sample density",NA,"ilcp","notCutover","6",0.22408079532902,1.140359604665,0.0684447108181001,13484.793290581,0.252148061074409
"observed","observed",NA,NA,"notCutover","7",0.22897270001578,1.24534611854862,0.0724602936769553,12934.589361907,0.25343054947281
"cutOnly",NA,NA,NA,"notCutover","8",0.206249013728894,1.13380281718094,0.0680251723104585,13705.8512042783,0.246697128738154
