"sampleType","sampleDens","runTime","method","areaMean","order","roadDisturbanceMean","roadDensityMean","roadPresenceMean","distanceToRoadMean","forestryDisturbanceMean"
"regular","low sample density",NA,"mst","overall","1",0.3850477560618,2.34253167028489,0.0241476269900102,3274.64429929582,0.293045667662268
"regular","high sample density",NA,"mst","overall","2",0.39002204529449,2.43438691358681,0.0250582442020544,3259.18713650747,0.293246663799122
"random","low sample density",NA,"mst","overall","3",0.38452580322378,2.34012534637653,0.024126116347206,3275.92608510433,0.293064427301707
"random","high sample density",NA,"mst","overall","4",0.389233870280294,2.41415940820364,0.0247593014225705,3263.47102491213,0.293207804545997
"centroid","centroid",NA,"mst","overall","5",0.38452580322378,2.34012534637653,0.024126116347206,3275.92608510433,0.293064427301707
"regular","high sample density",NA,"dlcp","overall","6",0.390078437184025,2.40851981405982,0.0249236647957923,3259.65569307562,0.293163585395889
"observed","observed",NA,NA,"overall","7",0.392322309811795,2.9211952085319,0.0301595758763105,3226.87364532203,0.298189828791491
"klementQGIS","klementQGIS",NA,NA,"overall","8",0.393780630303952,2.61701723498899,0.0257962247167214,3248.67540510051,0.292949189516578
"cutOnly",NA,NA,NA,"overall","9",0.34131387856859,2.06142794265595,0.0216352942214692,3437.5931724665,0.291857110506336
"regular","low sample density",NA,"mst","cutover","1",0.999911730955954,26.0806955600667,0.2635492982611,245.363668461471,1
"regular","high sample density",NA,"mst","cutover","2",1,29.9340475770141,0.30194633242122,217.029305322623,1
"random","low sample density",NA,"mst","cutover","3",1,26.0619736958245,0.263218289345926,244.099214405508,1
"random","high sample density",NA,"mst","cutover","4",1,28.9725990820011,0.288794244858328,224.477005914026,1
"centroid","centroid",NA,"mst","cutover","5",1,26.0619736958245,0.263218289345926,244.099214405508,1
"regular","high sample density",NA,"dlcp","cutover","6",1,29.1465266131162,0.297753552829023,217.99585135493,1
"observed","observed",NA,NA,"cutover","7",1,37.6941124547623,0.391384941301086,190.409568364375,1
"klementQGIS","klementQGIS",NA,NA,"cutover","8",1,35.6492761938365,0.333348044840674,200.538441168682,1
"cutOnly",NA,NA,NA,"cutover","9",0.86801571188984,17.1323903257128,0.187218642422103,599.145996998853,1
"regular","low sample density",NA,"mst","notCutover","1",0.346198088412657,1.73400403905552,0.0180105671648546,3410.10816395607,0.247357631661914
"regular","high sample density",NA,"mst","notCutover","2",0.351481096757552,1.72943334427008,0.0179602203944019,3395.1849743657,0.247571617490346
"random","low sample density",NA,"mst","notCutover","3",0.345637579213753,1.73201596388609,0.0179969905076538,3411.50488325483,0.247377603672567
"random","high sample density",NA,"mst","notCutover","4",0.350643121562175,1.73333403102266,0.0179907678731035,3399.2998233531,0.247530246896849
"centroid","centroid",NA,"mst","notCutover","5",0.345637579213753,1.73201596388609,0.0179969905076538,3411.50488325483,0.247377603672567
"regular","high sample density",NA,"dlcp","notCutover","6",0.351541051721614,1.72309123513639,0.0179296729157003,3395.63126861409,0.247483170014594
"observed","observed",NA,NA,"notCutover","7",0.353926701570681,2.0297917680202,0.0208995666783577,3360.62989676692,0.25283424229758
"klementQGIS","klementQGIS",NA,NA,"notCutover","8",0.355477164827351,1.77023555500244,0.0179121364001493,3384.89914584872,0.247254918464267
"cutOnly",NA,NA,NA,"notCutover","9",0.308034662335037,1.67508394899703,0.0173905664860217,3565.69732352537,0.246092262129787
